review_id,appointment_id,rating_val,review_txt
1,1,10,Лучшая короткая стрижка в моей жизни!
2,2,8,"Подстригли отлично, настоящая мужская стрижка"
3,3,9,Оксана Петрова сделала очень аккуратный классический маникюр
4,4,4,"Марина была не в настроении, чистка лица прошла не очень"
5,5,10,Виктор Кузнецов хороший мастер
6,6,9,Алиса Смирнова сделала идеальную коррекцию бровей
7,7,10,Отлично подобрали цвет для мелирования
8,8,7,"Делали ресницы немного медленно, но вышло хорошо"
9,9,10,Сделали красивый макияж
10,10,8,С Дарьей приятно общаться пока наращивает ногти)
11,11,9,Васильев - профи в аппаратном маникюре
12,12,10,Лучший педикюр
13,13,10,Отличное ламинирование ресниц
14,14,8,Уложили волосы неплохо (дневная укладка)
15,15,9,"Тимур Белов - вежливый и талантливый мастер, стрижка топ"
16,16,10,Сделали хорошее окрашивание
17,17,7,"Мастер немного опоздала, но дневной макияж сделала супер"
18,18,10,Сделали идеальное наращивание ресниц
19,19,9,Анастасия очень аккуратно делает классический маникюр
20,20,10,Валерия Сергеева - чудесный мастер
