service_id,service_nm,base_price,duration_min
1,Стрижка женская короткая,1200.00,60
2,Стрижка женская длинная,1800.00,90
3,Стрижка мужская,1000.00,45
4,Стрижка детская,800.00,30
5,Укладка дневная,1000.00,45
6,Укладка вечерняя,2000.00,60
7,Окрашивание,2500.00,90
8,Мелирование,4000.00,120
9,Тонирование,2500.00,60
10,Наращивание ресниц,5000.00,150
11,Маникюр классический,800.00,45
12,Маникюр аппаратный,1000.00,60
13,Педикюр классический,1500.00,60
14,Наращивание ногтей,3500.00,150
15,Макияж дневной,2000.00,60
16,Макияж вечерний,3500.00,90
17,Коррекция бровей,500.00,20
18,Ламинирование ресниц,2200.00,60
19,Чистка лица,2500.00,90
20,Стрижка женская средняя,2000.00,45
